Coefficient,Estimate,SE,T-value,P-value
(Intercept),0.16859,0.05801,2.906,0.00415 **
AATTC_nn_np_2517_a                     ,0.27773,0.04396,6.318,2.27e-09 ***
AATTC_nn_np_2815_a                     ,0.26382,0.05295,4.983,1.54e-06 ***
CATG_nn_np_3479_a                      ,0.20767,0.03467,5.99,1.23e-08 ***
CATG_nn_np_1284_a                      ,0.04522,0.04265,1.06,0.29055
AATTC_nn_np_2815_a×AATTC_lm_ll_3034_a  ,1.82572,0.17925,10.185,< 2e-16 ***
AATTC_nn_np_2815_a×AATTC_hk_hk_278_a                      ,0.25935,0.03888,6.671,3.48e-10 ***
CATG_lm_ll_3153_a                                         ,0.14877,0.03491,4.262,3.36e-05 ***
CATG_nn_np_1284_a×AATTC_nn_np_554_a                       ,0.22994,0.05104,4.505,1.23e-05 ***
AATTC_nn_np_2815_a.AATTC_lm_ll_3034_a×AATTC_nn_np_1615_a,-1.51714,0.1906,-7.96,2.39e-13 ***
AATTC_nn_np_2815_a×AATTC_nn_np_929_a                     ,-0.30805,0.05477,-5.624,7.57e-08 ***
AATTC_hk_hk_479_d                                         ,0.16044,0.03443,4.66,6.37e-06 ***
AATTC_nn_np_2517_a×CATG_hk_hk_648_a                       ,0.14537,0.0284,5.118,8.33e-07 ***
