Model,T1 tpr,T1 fpr,T2 tpr,T2 fpr,T3 tpr,T3 fpr,Train MSE,Train Rsq,Test MSE,Test Rsq,Model Size,Run Time
Forward select,1,0.001,0,0,0,0,3.326,0.731,3.48,0.716,4.03,4.355
Iform weak(2),1,0,0,0,0,0,1.119,0.91,1.2,0.901,8.07,8.342
Iform strong(2),1,0.008,0,0,0,0,1.58,0.872,1.707,0.859,7.54,2.952
Forward select (2),1,0,0,0,0,0,1.083,0.912,1.167,0.904,8,38.872
Forward select (3),1,0,0,0,0,0,0.979,0.921,1.089,0.91,8.58,569.98
Iform weak(3),1,0,0,0,0,0,1.003,0.919,1.079,0.911,9.03,13.054
Iform strong (3),1,0.008,0,0,0,0,1.578,0.872,1.705,0.859,7.58,2.787
Glinternet,1,0.531,1,0.02,0,0,0.906,0.927,1.425,0.883,33.18,29.975
hierNet,1,0.343,1,0.027,0,0,0.856,0.931,1.412,0.884,43.43,33.302
Oracle,NA,NA,NA,NA,NA,NA,0.94,0.924,1.034,0.915,9,NA
