Coefficient,Estimate,SE,T-value,P-value
mu_t,0.98465,0.014211,69.289,0
CATG_lm_ll_2801_a_P0,-18.34603,2.330582,-7.87187,0
CATG_lm_ll_2801_a_by_AATTC_lm_ll_2056_a_P0,15.09978,2.736415,5.51809,0
CATG_lm_ll_2801_a_by_AATTC_nn_np_2246_a_P0,17.44734,2.589045,6.73891,0
CATG_nn_np_3635_a_P0,35.64628,2.457669,14.5041,0
CATG_nn_np_3635_a_by_CATG_lm_ll_2637_a_P0,-20.86321,2.162166,-9.64922,0
AATTC_lm_ll_2056_a_by_CATG_lm_ll_2801_a_by_CATG_nn_np_4200_a_P0,11.63512,2.993626,3.88663,0.0001
AATTC_nn_np_2246_a_by_AATTC_nn_np_4205_a_by_CATG_lm_ll_2801_a_P0,-22.1074,3.305815,-6.68743,0
CATG_nn_np_3635_a_by_AATTC_nn_np_2292_a_P0,-16.8444,2.092784,-8.0488,0
AATTC_hk_hk_753_d_P0,-13.80524,1.800741,-7.66642,0
AATTC_hk_hk_753_d_by_AATTC_hk_hk_485_a_P0,18.90166,2.076084,9.10448,0
CATG_nn_np_3635_a_by_CATG_nn_np_3234_a_P0,-7.2607,2.454102,-2.9586,0.0031
AATTC_hk_hk_753_d_by_CATG_nn_np_2208_a_P0,7.81921,2.288519,3.41671,0.0006
AATTC_hk_hk_485_a_by_AATTC_hk_hk_753_d_by_AATTC_nn_np_3611_a_P0,-15.91187,3.036233,-5.24066,0
CATG_lm_ll_2801_a_by_AATTC_nn_np_3395_a_P0,-13.76959,2.301988,-5.98161,0
CATG_lm_ll_1732_a_P0,-8.98704,2.578819,-3.48494,0.0005
CATG_lm_ll_1732_a_by_AATTC_nn_np_4608_a_P0,23.97652,2.767672,8.66307,0
AATTC_nn_np_4608_a_by_CATG_lm_ll_1732_a_by_CATG_nn_np_3543_a_P0,-18.61259,3.349466,-5.55688,0
CATG_lm_ll_789_a_by_CATG_nn_np_3234_a_by_CATG_nn_np_3635_a_P0,-11.7958,2.885184,-4.0884,0
CATG_lm_ll_1732_a_by_AATTC_lm_ll_2212_a_P0,8.16593,2.177668,3.74985,0.0002
CATG_lm_ll_1732_a_by_CATG_nn_np_2948_a_P0,9.56873,2.321721,4.12139,0
AATTC_hk_hk_495_a_by_CATG_lm_ll_1732_a_by_CATG_nn_np_2948_a_P0,-8.64983,2.183079,-3.96222,0.0001
AATTC_nn_np_4608_a_by_CATG_lm_ll_1732_a_by_CATG_lm_ll_2787_a_P1,14.27351,2.135087,6.68521,0
